Date,Open,High,Low,Close,Adj Close,Volume
1996-08-07,7.773438,7.820313,7.679688,7.796875,4.900764,76790400
1996-08-08,7.757813,7.867188,7.734375,7.828125,4.920407,54379200
1996-08-09,7.796875,7.843750,7.742188,7.781250,4.890943,44313600
1996-08-12,7.765625,7.882813,7.750000,7.828125,4.920407,66187200
1996-08-13,7.812500,7.867188,7.710938,7.718750,4.851659,72508800
1996-08-14,7.742188,7.820313,7.734375,7.804688,4.905674,52032000
1996-08-15,7.796875,7.859375,7.773438,7.820313,4.915496,35556800
1996-08-16,7.820313,7.828125,7.734375,7.765625,4.881123,47598400
1996-08-19,7.742188,7.757813,7.640625,7.718750,4.851659,43131200
1996-08-20,7.734375,7.757813,7.703125,7.710938,4.846749,25678400
1996-08-21,7.656250,7.718750,7.609375,7.718750,4.851659,49345600
1996-08-22,7.757813,7.820313,7.718750,7.812500,4.910585,50236800
1996-08-23,7.804688,7.812500,7.703125,7.703125,4.841837,44006400
1996-08-26,7.710938,7.734375,7.671875,7.679688,4.827107,31944000
1996-08-27,7.695313,7.796875,7.687500,7.796875,4.900764,28038400
1996-08-28,7.812500,7.859375,7.804688,7.851563,4.935138,32070400
1996-08-29,7.828125,7.828125,7.726563,7.757813,4.876214,34182400
1996-08-30,7.765625,7.765625,7.656250,7.656250,4.812375,28088000
1996-09-03,7.625000,7.710938,7.539063,7.710938,4.846749,48524800
1996-09-04,7.710938,7.726563,7.683594,7.710938,4.846749,27126400
1996-09-05,7.671875,7.671875,7.593750,7.593750,4.773088,40372800
1996-09-06,7.625000,7.671875,7.601563,7.656250,4.812375,41921600
1996-09-09,7.656250,7.812500,7.640625,7.804688,4.905674,41747200
1996-09-10,7.796875,7.820313,7.726563,7.773438,4.886031,38904000
1996-09-11,7.746094,7.843750,7.726563,7.820313,4.915496,36387200
1996-09-12,7.843750,8.093750,7.824219,8.039063,5.052992,95944000
1996-09-13,8.101563,8.210938,8.054688,8.187500,5.146294,80137600
1996-09-16,8.195313,8.320313,8.187500,8.218750,5.165936,62409600
1996-09-17,8.304688,8.414063,8.265625,8.367188,5.259239,75624000
1996-09-18,8.375000,8.617188,8.328125,8.531250,5.362360,86049600
1996-09-19,8.531250,8.640625,8.484375,8.609375,5.411465,75912000
1996-09-20,8.562500,8.664063,8.492188,8.632813,5.426197,104849600
1996-09-23,8.601563,8.632813,8.515625,8.609375,5.411465,46385600
1996-09-24,8.593750,8.648438,8.507813,8.554688,5.377090,72520000
1996-09-25,8.593750,8.617188,8.460938,8.476563,5.327986,44067200
1996-09-26,8.484375,8.507813,8.234375,8.250000,5.185581,92604800
1996-09-27,8.281250,8.453125,8.203125,8.398438,5.278880,98372800
1996-09-30,8.343750,8.429688,8.234375,8.242188,5.180667,89574400
1996-10-01,8.234375,8.367188,8.179688,8.257813,5.190490,69124800
1996-10-02,8.304688,8.484375,8.273438,8.421875,5.293611,68760000
1996-10-03,8.421875,8.445313,8.351563,8.375000,5.264147,58294400
1996-10-04,8.414063,8.539063,8.390625,8.523438,5.357449,45166400
1996-10-07,8.523438,8.632813,8.492188,8.593750,5.401645,42432000
1996-10-08,8.609375,8.609375,8.437500,8.460938,5.318166,48465600
1996-10-09,8.500000,8.507813,8.328125,8.406250,5.283790,64955200
1996-10-10,8.359375,8.507813,8.335938,8.359375,5.254328,51739200
1996-10-11,8.414063,8.578125,8.390625,8.570313,5.386914,36523200
1996-10-14,8.585938,8.632813,8.523438,8.539063,5.367270,36091200
1996-10-15,8.671875,8.695313,8.585938,8.679688,5.455661,61206400
1996-10-16,8.671875,8.683594,8.562500,8.625000,5.421288,36427200
1996-10-17,8.640625,8.687500,8.468750,8.468750,5.323073,49097600
1996-10-18,8.375000,8.437500,8.347656,8.421875,5.293611,69646400
1996-10-21,8.421875,8.500000,8.343750,8.375000,5.264147,71401600
1996-10-22,8.320313,8.335938,8.203125,8.281250,5.205220,113806400
1996-10-23,8.289063,8.421875,8.234375,8.406250,5.283790,67443200
1996-10-24,8.429688,8.585938,8.367188,8.539063,5.367270,81417600
1996-10-25,8.539063,8.617188,8.507813,8.527344,5.359900,53084800
1996-10-28,8.542969,8.601563,8.515625,8.539063,5.367270,51240000
1996-10-29,8.554688,8.585938,8.429688,8.460938,5.318166,66756800
1996-10-30,8.460938,8.562500,8.429688,8.515625,5.352539,60526400
1996-10-31,8.523438,8.585938,8.507813,8.578125,5.391822,37028800
1996-11-01,8.578125,8.671875,8.531250,8.585938,5.396733,56531200
1996-11-04,8.578125,8.648438,8.546875,8.625000,5.421288,36006400
1996-11-05,8.656250,8.843750,8.644531,8.843750,5.558783,86417600
1996-11-06,8.835938,9.031250,8.812500,9.031250,5.676637,71438400
1996-11-07,9.046875,9.132813,8.945313,8.968750,5.637354,76742400
1996-11-08,8.960938,8.968750,8.843750,8.968750,5.637354,67369600
1996-11-11,8.960938,9.046875,8.937500,8.976563,5.642264,38593600
1996-11-12,9.000000,9.117188,8.843750,8.859375,5.568604,81156800
1996-11-13,8.976563,9.109375,8.945313,9.062500,5.696277,90409600
1996-11-14,9.078125,9.351563,9.078125,9.351563,5.877970,114969600
1996-11-15,9.421875,9.429688,9.210938,9.312500,5.853419,104041600
1996-11-18,9.335938,9.484375,9.289063,9.398438,5.907434,98585600
1996-11-19,9.406250,9.742188,9.390625,9.742188,6.123499,104739200
1996-11-20,9.750000,9.875000,9.578125,9.578125,6.020378,123857600
1996-11-21,9.656250,9.664063,9.375000,9.398438,5.907434,130718400
1996-11-22,9.421875,9.531250,9.335938,9.406250,5.912346,94424000
1996-11-25,9.445313,9.601563,9.406250,9.593750,6.030197,75129600
1996-11-26,9.625000,9.710938,9.523438,9.609375,6.040021,108238400
1996-11-27,9.632813,9.734375,9.609375,9.718750,6.108768,44446400
1996-11-29,9.718750,9.820313,9.718750,9.804688,6.162784,17152000
1996-12-02,9.843750,9.859375,9.703125,9.859375,6.197159,64502400
1996-12-03,9.898438,9.968750,9.664063,9.667969,6.076848,77563200
1996-12-04,9.695313,9.703125,9.507813,9.578125,6.020378,102542400
1996-12-05,9.585938,9.710938,9.492188,9.562500,6.010559,74950400
1996-12-06,9.312500,9.656250,9.266602,9.554688,6.005648,110238400
1996-12-09,9.796875,10.234375,9.750000,10.218750,6.423047,94718400
1996-12-10,10.546875,10.570313,10.218750,10.234375,6.432866,125725600
1996-12-11,10.125000,10.453125,10.015625,10.421875,6.550721,113558400
1996-12-12,10.625000,10.656250,10.125000,10.125000,6.364119,78272800
1996-12-13,10.140625,10.250000,9.904297,10.000000,6.285549,74532000
1996-12-16,10.031250,10.093750,9.562500,9.593750,6.030197,64883200
1996-12-17,9.578125,10.015625,9.546875,9.984375,6.275730,68944800
1996-12-18,10.171875,10.343750,10.000000,10.328125,6.491793,61796800
1996-12-19,10.500000,10.640625,10.375000,10.609375,6.668574,94609600
1996-12-20,10.687500,10.703125,10.421875,10.453125,6.570364,90414400
1996-12-23,10.515625,10.593750,10.359375,10.468750,6.580185,36892800
1996-12-24,10.515625,10.640625,10.390625,10.609375,6.668574,16246400
1996-12-26,10.656250,10.765625,10.640625,10.687500,6.717680,27905600
1996-12-27,10.687500,10.718750,10.501953,10.531250,6.619466,19079200
1996-12-30,10.671875,10.703125,10.437500,10.437500,6.560543,27279200
1996-12-31,10.500000,10.531250,10.312500,10.328125,6.491793,34367200
1997-01-02,10.390625,10.390625,10.093750,10.203125,6.413222,54480800
1997-01-03,10.281250,10.593750,10.250000,10.578125,6.648934,44131200
1997-01-06,10.578125,10.656250,10.390625,10.546875,6.629289,55948000
1997-01-07,10.562500,10.640625,10.421875,10.625000,6.678394,36880800
1997-01-08,10.625000,10.654297,10.390625,10.421875,6.550721,50593600
1997-01-09,10.468750,10.468750,10.281250,10.296875,6.472152,47763200
1997-01-10,10.250000,10.546875,10.203125,10.531250,6.619466,66556800
1997-01-13,10.640625,10.687500,10.437500,10.468750,6.580185,50361600
1997-01-14,10.531250,10.828125,10.531250,10.671875,6.707860,63728000
1997-01-15,10.703125,10.781250,10.546875,10.578125,6.648934,53058400
1997-01-16,10.625000,10.890625,10.625000,10.750000,6.756964,58688000
1997-01-17,10.703125,10.968750,10.687500,10.890625,6.845355,65368800
1997-01-20,10.875000,11.609375,10.828125,11.343750,7.130168,146220800
1997-01-21,11.328125,11.882813,11.203125,11.875000,7.464090,114592000
1997-01-22,11.890625,12.312500,11.828125,12.171875,7.650692,129236800
1997-01-23,12.265625,12.468750,11.812500,11.843750,7.444447,105048000
1997-01-24,11.890625,12.218750,11.796875,11.992188,7.537749,89817600
1997-01-27,12.062500,12.173828,11.937500,12.015625,7.552484,53263200
1997-01-28,12.296875,12.343750,11.843750,11.953125,7.513196,64656800
1997-01-29,12.093750,12.171875,11.968750,12.156250,7.640871,48933600
1997-01-30,12.281250,12.656250,12.250000,12.640625,7.945329,79937600
1997-01-31,12.734375,12.906250,12.609375,12.750000,8.014078,86516000
1997-02-03,12.828125,12.923828,12.640625,12.796875,8.043539,60804800
1997-02-04,12.796875,12.906250,12.562500,12.890625,8.102465,56464000
1997-02-05,12.890625,12.937500,12.109375,12.296875,7.729264,110099200
1997-02-06,12.281250,12.296875,12.000000,12.140625,7.631047,102122400
1997-02-07,12.296875,12.562500,12.187500,12.546875,7.886399,62448000
1997-02-10,12.593750,12.687500,12.203125,12.218750,7.680155,66804800
1997-02-11,12.281250,12.328125,11.890625,12.312500,7.739084,88834400
1997-02-12,12.296875,12.500000,12.187500,12.484375,7.847116,72001600
1997-02-13,12.562500,12.640625,12.421875,12.500000,7.856935,58292000
1997-02-14,12.421875,12.562500,12.203125,12.234375,7.689979,57395200
1997-02-18,12.203125,12.234375,12.031250,12.171875,7.650692,52545600
1997-02-19,12.171875,12.265625,12.062500,12.187500,7.660512,56383200
1997-02-20,12.109375,12.187500,11.890625,11.906250,7.483729,75395200
1997-02-21,11.859375,11.921875,11.750000,11.875000,7.464090,61131200
1997-02-24,11.781250,12.531250,11.750000,12.515625,7.866757,68599200
1997-02-25,12.500000,12.626953,12.359375,12.437500,7.817650,63941600
1997-02-26,12.437500,12.546875,12.296875,12.531250,7.876578,48849600
1997-02-27,12.531250,12.531250,12.000000,12.015625,7.552484,56628800
1997-02-28,12.015625,12.296875,11.929688,12.187500,7.660512,78412000
1997-03-03,12.125000,12.515625,12.078125,12.437500,7.817650,53874400
1997-03-04,12.406250,12.515625,12.328125,12.390625,7.788191,63920800
1997-03-05,12.437500,12.625000,12.406250,12.609375,7.925685,46393600
1997-03-06,12.593750,12.609375,12.216797,12.218750,7.680155,57018400
1997-03-07,12.296875,12.437500,12.062500,12.093750,7.601583,46032000
1997-03-10,12.140625,12.515625,11.992188,12.500000,7.856935,45997600
1997-03-11,12.453125,12.570313,12.296875,12.296875,7.729264,47577600
1997-03-12,12.218750,12.437500,12.218750,12.343750,7.758725,43234400
1997-03-13,12.281250,12.515625,12.250000,12.453125,7.827474,45505600
1997-03-14,12.468750,12.531250,12.359375,12.375000,7.778366,61327200
1997-03-17,12.312500,12.593750,12.250000,12.562500,7.896221,83958400
1997-03-18,12.578125,12.601563,12.359375,12.453125,7.827474,59012000
1997-03-19,12.218750,12.281250,11.867188,12.093750,7.601583,111560000
1997-03-20,12.078125,12.218750,11.921875,12.000000,7.542662,81410400
1997-03-21,12.062500,12.140625,11.609375,11.750000,7.385521,85829600
1997-03-24,11.640625,11.687500,10.953125,11.265625,7.081066,186269600
1997-03-25,11.328125,11.421875,11.109375,11.289063,7.095796,89701600
1997-03-26,11.343750,11.828125,11.328125,11.781250,7.405162,81270400
1997-03-27,11.890625,12.015625,11.375000,11.718750,7.365877,93919200
1997-03-31,11.640625,11.812500,11.406250,11.460938,7.203829,93825600
1997-04-01,11.265625,11.718750,11.218750,11.656250,7.326596,86680800
1997-04-02,11.609375,11.703125,11.375000,11.500000,7.228380,63331200
1997-04-03,11.375000,11.921875,11.328125,11.890625,7.473908,92252800
1997-04-04,11.718750,12.093750,11.718750,11.773438,7.400253,94964000
1997-04-07,11.953125,12.203125,11.875000,11.984375,7.532835,76511200
1997-04-08,12.078125,12.281250,11.937500,12.281250,7.719440,53339200
1997-04-09,12.390625,12.406250,12.218750,12.250000,7.699798,73762400
1997-04-10,12.218750,12.218750,11.937500,12.093750,7.601583,67913600
1997-04-11,11.937500,12.156250,11.867188,11.875000,7.464090,60033600
1997-04-14,11.843750,12.171875,11.671875,12.171875,7.650692,59107200
1997-04-15,12.234375,12.375000,11.984375,12.140625,7.631047,84440000
1997-04-16,12.078125,12.312500,12.031250,12.281250,7.719440,42710400
