strike_price;stock_price;moneyness;maturity;IV
130;147.07;1.131307692;0.03968254;1.00E-05
139;147.07;1.058057554;0.03968254;1.00E-05
140;147.07;1.0505;0.03968254;1.00E-05
142;147.07;1.035704225;0.03968254;1.00E-05
143;147.07;1.028461538;0.03968254;1.00E-05
144;147.07;1.021319444;0.03968254;1.00E-05
145;147.07;1.014275862;0.03968254;1.00E-05
146;147.07;1.007328767;0.03968254;1.00E-05
147;147.07;1.00047619;0.03968254;1.00E-05
148;147.07;0.993716216;0.03968254;1.00E-05
149;147.07;0.98704698;0.03968254;1.00E-05
150;147.07;0.980466667;0.03968254;1.00E-05
152.5;147.07;0.964393443;0.03968254;0.015634844
155;147.07;0.94883871;0.03968254;0.031259688
157.5;147.07;0.933777778;0.03968254;0.062509375
160;147.07;0.9191875;0.03968254;0.062509375
162.5;147.07;0.905046154;0.03968254;0.12500875
165;147.07;0.891333333;0.03968254;0.12500875
167.5;147.07;0.878029851;0.03968254;0.12500875
170;147.07;0.865117647;0.03968254;0.12500875
175;147.07;0.8404;0.03968254;0.2500075
180;147.07;0.817055556;0.03968254;0.2500075
135;147.07;1.089407407;0.067460317;1.00E-05
138;147.07;1.065724638;0.067460317;1.00E-05
140;147.07;1.0505;0.067460317;1.00E-05
145;147.07;1.014275862;0.067460317;1.00E-05
146;147.07;1.007328767;0.067460317;1.00E-05
147;147.07;1.00047619;0.067460317;1.00E-05
148;147.07;0.993716216;0.067460317;1.00E-05
149;147.07;0.98704698;0.067460317;1.00E-05
150;147.07;0.980466667;0.067460317;1.00E-05
155;147.07;0.94883871;0.067460317;0.031259688
160;147.07;0.9191875;0.067460317;0.062509375
165;147.07;0.891333333;0.067460317;0.12500875
170;147.07;0.865117647;0.067460317;0.12500875
175;147.07;0.8404;0.067460317;0.12500875
180;147.07;0.817055556;0.067460317;0.12500875
190;147.07;0.774052632;0.067460317;0.2500075
195;147.07;0.754205128;0.067460317;0.2500075
147;147.07;1.00047619;0.095238095;1.00E-05
148;147.07;0.993716216;0.095238095;1.00E-05
149;147.07;0.98704698;0.095238095;1.00E-05
150;147.07;0.980466667;0.095238095;1.00E-05
155;147.07;0.94883871;0.095238095;0.031259688
160;147.07;0.9191875;0.095238095;0.062509375
165;147.07;0.891333333;0.095238095;0.062509375
170;147.07;0.865117647;0.095238095;0.12500875
175;147.07;0.8404;0.095238095;0.12500875
130;147.07;1.131307692;0.123015873;1.00E-05
140;147.07;1.0505;0.123015873;1.00E-05
145;147.07;1.014275862;0.123015873;1.00E-05
150;147.07;0.980466667;0.123015873;1.00E-05
155;147.07;0.94883871;0.123015873;0.031259688
160;147.07;0.9191875;0.123015873;0.062509375
165;147.07;0.891333333;0.123015873;0.062509375
170;147.07;0.865117647;0.123015873;0.12500875
175;147.07;0.8404;0.123015873;0.12500875
180;147.07;0.817055556;0.123015873;0.12500875
185;147.07;0.794972973;0.123015873;0.12500875
190;147.07;0.774052632;0.123015873;0.12500875
195;147.07;0.754205128;0.123015873;0.2500075
200;147.07;0.73535;0.123015873;0.2500075
205;147.07;0.717414634;0.123015873;0.2500075
215;147.07;0.684046512;0.123015873;0.2500075
147;147.07;1.00047619;0.150793651;1.00E-05
148;147.07;0.993716216;0.150793651;1.00E-05
149;147.07;0.98704698;0.150793651;1.00E-05
150;147.07;0.980466667;0.150793651;1.00E-05
155;147.07;0.94883871;0.150793651;0.015634844
160;147.07;0.9191875;0.150793651;0.031259688
165;147.07;0.891333333;0.150793651;0.062509375
170;147.07;0.865117647;0.150793651;0.062509375
140;147.07;1.0505;0.234126984;1.00E-05
145;147.07;1.014275862;0.234126984;1.00E-05
150;147.07;0.980466667;0.234126984;1.00E-05
155;147.07;0.94883871;0.234126984;0.015634844
160;147.07;0.9191875;0.234126984;0.031259688
165;147.07;0.891333333;0.234126984;0.062509375
170;147.07;0.865117647;0.234126984;0.062509375
175;147.07;0.8404;0.234126984;0.062509375
180;147.07;0.817055556;0.234126984;0.12500875
185;147.07;0.794972973;0.234126984;0.12500875
190;147.07;0.774052632;0.234126984;0.12500875
195;147.07;0.754205128;0.234126984;0.12500875
200;147.07;0.73535;0.234126984;0.12500875
220;147.07;0.6685;0.234126984;0.2500075
225;147.07;0.653644444;0.234126984;0.2500075
250;147.07;0.58828;0.234126984;0.2500075
135;147.07;1.089407407;0.484126984;1.00E-05
150;147.07;0.980466667;0.484126984;1.00E-05
155;147.07;0.94883871;0.484126984;0.015634844
160;147.07;0.9191875;0.484126984;0.031259688
165;147.07;0.891333333;0.484126984;0.031259688
170;147.07;0.865117647;0.484126984;0.062509375
175;147.07;0.8404;0.484126984;0.062509375
180;147.07;0.817055556;0.484126984;0.062509375
185;147.07;0.794972973;0.484126984;0.062509375
190;147.07;0.774052632;0.484126984;0.062509375
300;147.07;0.490233333;0.484126984;0.2500075
30;147.07;4.902333333;0.595238095;1.00E-05
35;147.07;4.202;0.595238095;1.00E-05
40;147.07;3.67675;0.595238095;1.00E-05
45;147.07;3.268222222;0.595238095;1.00E-05
150;147.07;0.980466667;0.595238095;1.00E-05
155;147.07;0.94883871;0.595238095;0.007822422
160;147.07;0.9191875;0.595238095;0.015634844
165;147.07;0.891333333;0.595238095;0.031259688
170;147.07;0.865117647;0.595238095;0.031259688
180;147.07;0.817055556;0.595238095;0.062509375
185;147.07;0.794972973;0.595238095;0.062509375
190;147.07;0.774052632;0.595238095;0.062509375
195;147.07;0.754205128;0.595238095;0.062509375
200;147.07;0.73535;0.595238095;0.12500875
250;147.07;0.58828;0.595238095;0.12500875
100;147.07;1.4707;0.734126984;1.00E-05
125;147.07;1.17656;0.734126984;1.00E-05
140;147.07;1.0505;0.734126984;1.00E-05
145;147.07;1.014275862;0.734126984;1.00E-05
150;147.07;0.980466667;0.734126984;1.00E-05
155;147.07;0.94883871;0.734126984;0.007822422
160;147.07;0.9191875;0.734126984;0.015634844
165;147.07;0.891333333;0.734126984;0.031259688
170;147.07;0.865117647;0.734126984;0.031259688
175;147.07;0.8404;0.734126984;0.062509375
180;147.07;0.817055556;0.734126984;0.062509375
185;147.07;0.794972973;0.734126984;0.062509375
190;147.07;0.774052632;0.734126984;0.062509375
195;147.07;0.754205128;0.734126984;0.062509375
200;147.07;0.73535;0.734126984;0.062509375
205;147.07;0.717414634;0.734126984;0.062509375
210;147.07;0.700333333;0.734126984;0.12500875
215;147.07;0.684046512;0.734126984;0.12500875
220;147.07;0.6685;0.734126984;0.12500875
270;147.07;0.544703704;0.734126984;0.12500875
280;147.07;0.52525;0.734126984;0.12500875
300;147.07;0.490233333;0.734126984;0.2500075
110;147.07;1.337;0.956349206;1.00E-05
150;147.07;0.980466667;0.956349206;1.00E-05
155;147.07;0.94883871;0.956349206;0.007822422
160;147.07;0.9191875;0.956349206;0.015634844
170;147.07;0.865117647;0.956349206;0.031259688
175;147.07;0.8404;0.956349206;0.031259688
190;147.07;0.774052632;0.956349206;0.062509375
195;147.07;0.754205128;0.956349206;0.062509375
230;147.07;0.639434783;0.956349206;0.12500875
240;147.07;0.612791667;0.956349206;0.12500875
290;147.07;0.507137931;0.956349206;0.12500875
300;147.07;0.490233333;0.956349206;0.12500875
150;147.07;0.980466667;1.317460317;1.00E-05
155;147.07;0.94883871;1.317460317;0.007822422
160;147.07;0.9191875;1.317460317;0.015634844
170;147.07;0.865117647;1.317460317;0.031259688
180;147.07;0.817055556;1.317460317;0.031259688
190;147.07;0.774052632;1.317460317;0.062509375
200;147.07;0.73535;1.317460317;0.062509375
300;147.07;0.490233333;1.317460317;0.12500875
195;147.07;0.754205128;1.456349206;0.062509375
70;147.07;2.101;1.678571429;1.00E-05
125;147.07;1.17656;1.678571429;1.00E-05
165;147.07;0.891333333;1.678571429;0.015634844
185;147.07;0.794972973;1.678571429;0.031259688
200;147.07;0.73535;1.678571429;0.062509375
50;147.07;2.9414;2.178571429;1.00E-05
