"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"1","AAPL220708C00070000","REGULAR","USD",2022-07-08,70,69.39,0,0,68.45,69.65,1,2,2022-06-29 09:58:42,2.3593791015625,TRUE
"2","AAPL220708C00080000","REGULAR","USD",2022-07-08,80,56.29,0,0,56.5,60.7,NA,2,2022-06-22 10:13:32,3.20410355224609,TRUE
"3","AAPL220708C00085000","REGULAR","USD",2022-07-08,85,50.66,0,0,51.5,55.7,1,1,2022-06-30 09:52:46,2.91455349487305,TRUE
"4","AAPL220708C00095000","REGULAR","USD",2022-07-08,95,44.9,0,0,41.5,45.7,NA,1,2022-06-10 09:43:15,2.37793374267578,TRUE
"5","AAPL220708C00100000","REGULAR","USD",2022-07-08,100,38.5,0,0,38.5,39.45,1,10,2022-06-23 15:42:21,1.0703171484375,TRUE
"6","AAPL220708C00105000","REGULAR","USD",2022-07-08,105,32.55,-5.3199997,-14.048059,33.25,35,2,28,2022-07-01 09:46:57,1.1484417578125,TRUE
"7","AAPL220708C00110000","REGULAR","USD",2022-07-08,110,28.3,0,0,28.25,30,1,83,2022-06-28 15:02:03,0.983398603515625,TRUE
"8","AAPL220708C00115000","REGULAR","USD",2022-07-08,115,21.53,0,0,23.5,24.55,1,40,2022-06-30 11:35:10,0.7304714453125,TRUE
"9","AAPL220708C00117000","REGULAR","USD",2022-07-08,117,19.89,-3.2600002,-14.082074,19.15,19.5,NA,NA,2022-07-01 12:50:17,1e-05,TRUE
"10","AAPL220708C00119000","REGULAR","USD",2022-07-08,119,20.9,0,0,18,21.75,1,1,2022-06-29 10:26:15,1.24853891357422,TRUE
"11","AAPL220708C00120000","REGULAR","USD",2022-07-08,120,18.68,1.2000008,6.864993,18.45,19.45,22,126,2022-07-01 15:25:51,0.82617361328125,TRUE
"12","AAPL220708C00121000","REGULAR","USD",2022-07-08,121,17.7,-2.1999989,-11.05527,17.55,18.4,34,8,2022-07-01 15:54:28,0.770510107421875,TRUE
"13","AAPL220708C00122000","REGULAR","USD",2022-07-08,122,16.4,1.7999992,12.328762,14.5,18.8,4,1,2022-07-01 15:53:42,1.12256298095703,TRUE
"14","AAPL220708C00123000","REGULAR","USD",2022-07-08,123,15.6,1.8000002,13.04348,15.55,16.5,28,11,2022-07-01 15:54:40,0.50195810546875,TRUE
"15","AAPL220708C00124000","REGULAR","USD",2022-07-08,124,15.45,0,0,14.6,15.55,1,20,2022-06-29 13:09:30,0.5117236328125,TRUE
"16","AAPL220708C00125000","REGULAR","USD",2022-07-08,125,14.05,1.8600006,15.258413,13.3,14.45,42,555,2022-07-01 15:59:55,0.645023081054688,TRUE
"17","AAPL220708C00126000","REGULAR","USD",2022-07-08,126,12.77,2.42,23.381643,12.2,13.5,19,17,2022-07-01 15:55:53,0.624515473632813,TRUE
"18","AAPL220708C00127000","REGULAR","USD",2022-07-08,127,11.7,0.6499996,5.882349,11.2,12.6,118,462,2022-07-01 15:48:48,0.616214775390625,TRUE
"19","AAPL220708C00128000","REGULAR","USD",2022-07-08,128,10.66,1.7699995,19.910006,10.25,11.75,15,107,2022-07-01 15:50:07,0.616703051757813,TRUE
"20","AAPL220708C00129000","REGULAR","USD",2022-07-08,129,9.87,1.71,20.955883,9.1,10.9,16,293,2022-07-01 15:41:30,0.611820288085938,TRUE
